"Date","ISIN","Maturity","T_years","Coupon","YTM"
2026-01-05,"CA135087R226",2026-02-01,0.073972602739726,0.045,0.0254
2026-01-05,"CA135087L518",2026-03-01,0.150684931506849,0.0025,0.0223
2026-01-05,"CA135087R556",2026-05-01,0.317808219178082,0.04,0.0244
2026-01-05,"CA135087E679",2026-06-01,0.402739726027397,0.015,0.023
2026-01-05,"CA135087R978",2026-08-03,0.575342465753425,0.04,0.0246
2026-01-05,"CA135087L930",2026-09-01,0.654794520547945,0.01,0.0233
2026-01-05,"CA135087F825",2027-06-01,1.4027397260274,0.01,0.0246
2026-01-05,"CA135087P733",2027-08-24,1.63287671232877,0.0325,0.0251
2026-01-05,"CA135087Q491",2028-09-01,2.65753424657534,0.0325,0.0272
2026-01-05,"CA135087L443",2030-12-01,4.90684931506849,0.005,0.0301
2026-01-06,"CA135087R226",2026-02-01,0.0712328767123288,0.045,0.0261
2026-01-06,"CA135087L518",2026-03-01,0.147945205479452,0.0025,0.022
2026-01-06,"CA135087R556",2026-05-01,0.315068493150685,0.04,0.0243
2026-01-06,"CA135087E679",2026-06-01,0.4,0.015,0.0228
2026-01-06,"CA135087R978",2026-08-03,0.572602739726027,0.04,0.0245
2026-01-06,"CA135087L930",2026-09-01,0.652054794520548,0.01,0.0233
2026-01-06,"CA135087F825",2027-06-01,1.4,0.01,0.0246
2026-01-06,"CA135087P733",2027-08-24,1.63013698630137,0.0325,0.0249
2026-01-06,"CA135087Q491",2028-09-01,2.65479452054795,0.0325,0.0269
2026-01-06,"CA135087L443",2030-12-01,4.9041095890411,0.005,0.0298
2026-01-07,"CA135087R226",2026-02-01,0.0684931506849315,0.045,0.0253
2026-01-07,"CA135087L518",2026-03-01,0.145205479452055,0.0025,0.0224
2026-01-07,"CA135087R556",2026-05-01,0.312328767123288,0.04,0.0241
2026-01-07,"CA135087E679",2026-06-01,0.397260273972603,0.015,0.0228
2026-01-07,"CA135087R978",2026-08-03,0.56986301369863,0.04,0.0244
2026-01-07,"CA135087L930",2026-09-01,0.649315068493151,0.01,0.0231
2026-01-07,"CA135087F825",2027-06-01,1.3972602739726,0.01,0.0246
2026-01-07,"CA135087P733",2027-08-24,1.62739726027397,0.0325,0.0248
2026-01-07,"CA135087Q491",2028-09-01,2.65205479452055,0.0325,0.027
2026-01-07,"CA135087L443",2030-12-01,4.9013698630137,0.005,0.0296
2026-01-08,"CA135087R226",2026-02-01,0.0657534246575342,0.045,0.0261
2026-01-08,"CA135087L518",2026-03-01,0.142465753424658,0.0025,0.022
2026-01-08,"CA135087R556",2026-05-01,0.30958904109589,0.04,0.024
2026-01-08,"CA135087E679",2026-06-01,0.394520547945205,0.015,0.0226
2026-01-08,"CA135087R978",2026-08-03,0.567123287671233,0.04,0.0244
2026-01-08,"CA135087L930",2026-09-01,0.646575342465753,0.01,0.0232
2026-01-08,"CA135087F825",2027-06-01,1.39452054794521,0.01,0.025
2026-01-08,"CA135087P733",2027-08-24,1.62465753424658,0.0325,0.0248
2026-01-08,"CA135087Q491",2028-09-01,2.64931506849315,0.0325,0.0269
2026-01-08,"CA135087L443",2030-12-01,4.8986301369863,0.005,0.0297
2026-01-09,"CA135087R226",2026-02-01,0.063013698630137,0.045,0.0268
2026-01-09,"CA135087L518",2026-03-01,0.13972602739726,0.0025,0.0217
2026-01-09,"CA135087R556",2026-05-01,0.306849315068493,0.04,0.0239
2026-01-09,"CA135087E679",2026-06-01,0.391780821917808,0.015,0.0227
2026-01-09,"CA135087R978",2026-08-03,0.564383561643836,0.04,0.0245
2026-01-09,"CA135087L930",2026-09-01,0.643835616438356,0.01,0.0228
2026-01-09,"CA135087F825",2027-06-01,1.39178082191781,0.01,0.025
