ISIN,Coupon,IssueDate,Maturity,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-19
CA135087R226,4.50%,11/1/2023,2/1/2026,100.14,100.13,100.13,100.12,100.11,100.1,100.09,100.08,100.08,100.07,100.05
CA135087L518,0.25%,10/9/2020,3/1/2026,99.7,99.71,99.71,99.72,99.73,99.74,99.74,99.75,99.76,99.77,99.78
CA135087R556,4.00%,2/12/2024,5/1/2026,100.49,100.49,100.49,100.49,100.49,100.47,100.47,100.46,100.47,100.46,100.44
CA135087E679,1.50%,7/21/2015,6/1/2026,99.68,99.69,99.69,99.7,99.7,99.71,99.71,99.71,99.765,99.73,99.73
CA135087L930,1.00%,4/16/2021,9/1/2026,99.145,99.145,99.165,99.16,99.19,99.18,99.19,99.2,99.21,99.22,99.215
CA135087R978,4.00%,5/6/2024,8/3/2026,100.88,100.88,100.88,100.88,100.87,100.86,100.86,100.86,100.86,100.85,100.84
CA135087F825,1.00%,8/3/2016,6/1/2027,98,98,98,97.96,97.96,97.98,97.97,97.99,98.02,98.03,98.02
CA135087P733,3.25%,12/2/2022,8/24/2027,101.17,101.2,101.21,101.21,101.2,101.21,101.19,101.21,101.24,101.23,101.21
CA135087Q491,3.25%,4/21/2023,9/1/2028,101.34,101.41,101.4,101.43,101.42,101.45,101.42,101.43,101.48,101.47,101.45
CA135087L443,0.50%,10/5/2020,12/1/2030,88.64,88.77,88.845,88.82,88.83,88.9,88.86,88.94,89.05,89.06,88.96
