ISIN,Coupon,IssueDate,Maturity,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-19
CA135087R226,4.50%,11/1/2023,2026-02-01,2.54%,2.61%,2.53%,2.61%,2.68%,2.61%,2.70%,2.81%,2.71%,2.83%,3.02%
CA135087L518,0.25%,10/9/2020,2026-03-01,2.23%,2.20%,2.24%,2.20%,2.17%,2.21%,2.26%,2.22%,2.18%,2.15%,2.20%
CA135087R556,4.00%,2/12/2024,2026-05-01,2.44%,2.43%,2.41%,2.40%,2.39%,2.41%,2.39%,2.41%,2.36%,2.38%,2.41%
CA135087E679,1.50%,7/21/2015,2026-06-01,2.30%,2.28%,2.28%,2.26%,2.27%,2.26%,2.26%,2.27%,2.13%,2.22%,2.24%
CA135087L930,1.00%,4/16/2021,2026-09-01,2.33%,2.33%,2.31%,2.32%,2.28%,2.31%,2.30%,2.29%,2.28%,2.27%,2.30%
CA135087R978,4.00%,5/6/2024,2026-08-03,2.46%,2.45%,2.44%,2.44%,2.45%,2.44%,2.43%,2.43%,2.42%,2.43%,2.43%
CA135087F825,1.00%,8/3/2016,2027-06-01,2.46%,2.46%,2.46%,2.50%,2.50%,2.49%,2.50%,2.49%,2.47%,2.47%,2.48%
CA135087P733,3.25%,12/2/2022,2027-08-24,2.51%,2.49%,2.48%,2.48%,2.49%,2.48%,2.49%,2.47%,2.45%,2.46%,2.47%
CA135087Q491,3.25%,4/21/2023,2028-09-01,2.72%,2.69%,2.70%,2.69%,2.69%,2.68%,2.69%,2.68%,2.66%,2.66%,2.67%
CA135087L443,0.50%,10/5/2020,2030-12-01,3.01%,2.98%,2.96%,2.97%,2.97%,2.96%,2.97%,2.95%,2.93%,2.92%,2.95%
